n_people,n_encounters,n_events,palette_colour_name,type_description,palette_code,type_code,intensity_type,intensity_severity_risk,clinical_focus,service_type,service_location,population_age,facility_name,building_name,unit_name,location_category,location_grouping,location_type,site_key,facility_key,building_key,unit_key
1,1,24,Acute Care - Med-Surg,Acute Care - Med-Surg - Mixed Ages,5,68,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital,Mixed Ages,West Coast General Hospital,West Coast Hospital,WCG - Medical-Surgical Unit B,Inpatient-Acute,Inpatient-Acute-General,InPt-Acute-General,NA,WCG,WCGA,MBWC
1,1,34,Acute Care - Med-Surg ED - Mixed Ages,Acute Care - Med-Surg ED - Mixed Ages,3,69,"ED, Urgent Care, Acute",Acute Care,Med-Surg,Acute Care,Hospital-ED,Mixed Ages,Nanaimo Regional General Hospital,Nanaimo Regional General Hospital,NRG - Rapid Admission Discharge Unit,Inpatient-Acute,Inpatient-ER,InPt-Acute-ER,NA,NRG,NRGA,RADU
1,1,24,Acute Care - Psychiatric Intensive care - Adult,Acute Care - Psychiatric Intensive care - Adult,42,8,"ED, Urgent Care, Acute",Intensive Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Nanaimo Regional General Hospital - Mental Health,Nanaimo Regional General Hospital - Mental Health,NRG - Psychiatric Intensive Care,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,NRM,NRGM,PICNR
1,1,2,Addictions - Ambulatory - C&Y,Addictions - C&Y Ambulatory,8,47,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,MHSU-Addictions,Ambulatory-Mixed,Ambulatory Clinic,"Children, Adolescents",Mental Health & Addictions Services Community Care,"Esquimalt Health Unit, Victoria - MHAS",Discovery Youth and Family Substance Use Services,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EHUV,DISC-V
1,1,2,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Gibbins Road, Duncan - MHAS",Adult Community Addiction Services - Duncan,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,GIBB,ACAD
1,1,2,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,England Comox Valley - MHSU,Addiction Services Group-CV,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,ENCV,AGCV
1,1,1,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,"Gibbins Road, Duncan - MHSU",Adult Community Addiction Services - Duncan,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,GIBBD,ACAD
1,3,6,Addictions - Ambulatory (secondary level),Addictions - Ambulatory (secondary level),12,22,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,MHSU-Addictions,Ambulatory-Chronic,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Substance Use,"Roger Street, Port Alberni",Adult Community Addiction Services - Port Alberni,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCSU,ROPA,ACSP
1,3,6,Addictions - Detox (secondary level),Addictions - Detox (secondary level),13,23,"ED, Urgent Care, Acute",Acute Care,MHSU-Addictions,Detox-MHSU,Detox Facility,"Adults, some adols, older adults",MHSU - Residential - Detox,"Clearview Detox, Nanaimo - MHSU",Clearview Detox,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRD,CLDE,CLNA
1,1,2,Addictions - Post Withdrawal Stabilization (secondary level),Addictions - Post Withdrawal Stabilization (secondary level),10,24,Residential Care,Medium Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Post Detox,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Eric Martin Pavilion,EMP 5B- Stabilization Unit,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,EMP,EM5B
1,1,2,Addictions - Post Withdrawal Stabilization (secondary level),Addictions - Post Withdrawal Stabilization (secondary level),10,24,Residential Care,Medium Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Post Detox,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Lilac,LILAC,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,LILA,LILI
1,2,4,Addictions - Sobering & Assessment Centre (primary care),Addictions - Sobering & Assessment Centre (primary care),11,21,Residential Care,High Intensity Res Care,MHSU-Addictions,Res Care-MHSU-Crisis,Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Sobering & Assessment Centre,Swing Beds,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,SOB,SBED
1,1,2,Ambulatory - Child & Youth - Developmental,Chronic - Child & Youth Developmental - Community,18,132,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,"Developmental - Phys,Cog",Rehab-Phys/Cog(Therapies),Community,"Children, Adolescents","Child, Youth Family Health - Rehab",School Aged Therapy Program,SP District 62,Other,Other,Unclassified,NA,CYFHR,SCHB,DT62
1,1,2,Ambulatory - Child & Youth - Physical,Ambulatory - Child & Youth Physical Disabilities,19,131,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,"Developmental - Phys,Cog",Rehab-Phys/Cog(Therapies),Ambulatory Clinic,"Children, Adolescents","Child, Youth Family Health - Rehab",Orthotics Prosthetics & Seating,Orthotic Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,CYFHR,OPS,ADOR
1,1,2,Ambulatory Episodic - Urgent Assessment,Ambulatory Episodic - Urgent Assessment,16,84,Ambulatory-Episodic,Ambulatory Episodic-High Intensity,Med-Surg,Assessment-Intensive,Ambulatory Clinic,Mixed Ages,Victoria General Hospital,Victoria General Hospital,Urgent Medical Assessment Clinic-VGH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGHA,UMAC
1,3,6,Cardiovascular,Ambulatory Chronic - Cardiovascular Rehab,22,90,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,Cardiovascular,Rehab-Phys/Cog(Therapies),Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Cardiac Rehab Program,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,CRPR
1,1,2,Cardiovascular,Ambulatory Chronic - Cardiovascular Rehab,22,90,Ambulatory-Chronic,Ambulatory Chronic Care-Moderate Intensity,Cardiovascular,Rehab-Phys/Cog(Therapies),Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Cardiac Rehab/Heart Function Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,CRPR
1,2,4,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Brooks Landing, Nanaimo - MHAS",Intake - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,BROO,INNA
1,1,2,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service NI - Community Care,Campbell River MHAS,Intake,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MCNI,SHOP,INC
1,2,4,Clinical Intake - Adult MHSU,Clinical Intake - Adult MHSU,64,33,"Intake, Assessment","Lower-Intensity Assessment, Intake, Referral",MHSU,Intake-Clinical,Ambulatory Clinic,"Adults, some adols, older adults",MHSU - Community - Intake,Church Street,Mental Health Intake - SI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCIN,CHUR,INTA
1,2,4,Colposcopy,Colposcopy,23,99,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Female Reproductive,Diagnostics,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,RJH - Colposcopy Clinic,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,COLP
1,1,1,Colposcopy,Colposcopy,23,99,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Female Reproductive,Diagnostics,Ambulatory Clinic,Mixed Ages,Royal Jubilee Hospital,Royal Jubilee Main,Colposcopy Clinic-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,COLP
1,1,2,Crisis Response - Walk-in,Crisis Response - Walk-in,63,81,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Ambulatory Clinic,Mixed Ages,MHSU - Community - Urgent Episodic,"Hirst Street, Parksville - MHSU",WalkIn - Parksville,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,HIRST,WALK
1,1,2,"Crisis Response Teams - One-time, High-intensity - Emergency Response","Crisis Response Teams - One-time, High-intensity - Emergency Response",46,2,"ED, Urgent Care, Acute",Emergent-Community,MHSU,Crisis Response-Community,Community,Mixed Ages,MHSU - Community - Urgent Episodic,Salt Spring Island Community Services,Access and Crisis Response-SSI,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,SSICS,SSIAC
1,1,12,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Nanaimo Regional General Hospital - Acute Care,Nanaimo Regional General - Acute Care,NRG - Emergency Psych Beds,Emergency Room,Emergency-Treatment,ER-PES Treatment Room,NA,NRG,NRGA,EDNRGH
1,1,4,Dedicated Psychiatric Emergency Settings - Emergency Response,Dedicated Psychiatric Emergency Settings - Emergency Response,47,1,"ED, Urgent Care, Acute",Emergent-Hospital,MHSU,ED-PES or Psychiatric Bed,Hospital-ED,Mixed Ages,Nanaimo Regional General Hospital - Acute Care,Nanaimo Regional General - Acute Care,NRG - Emergency Psych Short Stay,Inpatient-Acute,Inpatient-ER,Inpt-Acute-ER-PES,NA,NRG,NRGA,EDNRGH
1,1,2,Early Psychosis Intervention (EPI),Early Psychosis Intervention (EPI),48,44,Community Support,Medium-Intensity Community Tx & Support,MHSU,EPI Protocol,Community,"Adults, some adols, older adults",MHSU - Community - EPI,Royal Jubilee Eric Martin Pavilion,Early Psychosis Intervention - Victoria,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCEPI,EMP,EPIV
1,1,2,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Campbell River & District Hospital - Acute Care,Campbell River Hospital,CRH - Emergency Unit,Emergency Room,Emergency-General,ER-General,NA,CRH,CRHA,ERCR
1,2,4,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Ladysmith Hospital,Ladysmith Hospital,Emergency-LHC,Emergency Room,Emergency-General,ER-General,NA,LHC,LCHC,ERLH
1,1,64,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Nanaimo Regional General Hospital,Nanaimo Regional General Hospital,NRG - Emergency,Emergency Room,Emergency-General,ER-General,NA,NRG,NRGA,EHN
1,1,4,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Oceanside Health Centre,Oceanside Health Centre,Urgent Care-OHC,Emergency Room,Emergency-General,ER-General,NA,OCEAN,OCEANPK,UCOH
1,1,22,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed,NA,VGHAC,VGH-AC,ER-V
1,2,30,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,Victoria General - Acute Care,Victoria General - Acute Care,VGH - Emergency,Emergency Room,Emergency-Treatment,ER-Treatment Bed-Isolation,NA,VGHAC,VGH-AC,ER-V
1,12,24,ED - Med-Surg,ED - Med-Surg,28,80,"ED, Urgent Care, Acute",Emergent-Hospital,Emergency Response,ED-Medical,Hospital,Mixed Ages,West Coast General Hospital,West Coast Hospital,WCG - Emergency,Emergency Room,Emergency-General,ER-General,NA,WCG,WCGA,ERWC
1,1,2,Electrodiagnostics,Electrodiagnostics,29,151,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Electrodiagnostics,Diagnostics,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,Electrodiagnostic Services,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,EDS-R
1,1,2,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,Domiciliary Collections,Lab-SPH Domiciliary,Ambulatory,NA,Laboratory,NA,ICS,DOCI,SDOM
1,2,4,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,West Coast Hospital Lab,Lab Outpatient-WCG,NA,NA,Unclassified,NA,ICS,WCGL,LAWC
1,1,2,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services,William Head Lab Collections,Lab-William Head,NA,NA,Unclassified,NA,ICS,WHLC,LWHI
1,2,4,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Admirals Walk Collection Station,LAB-Admirals,Ambulatory,Ambulatory,Laboratory,NA,IDC,Admirals,ADM
1,1,2,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Brentwood Collection Station,LAB-Brentwood,Ambulatory,Ambulatory,Laboratory,NA,IDC,Brentwood,BRW
1,4,4,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Island Clinical Support Services - SI,Sidney Collection Station,Lab-Sidney,Ambulatory,Ambulatory,Laboratory,NA,IDC,Sidney,SID
1,1,2,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Ladysmith Hospital,Ladysmith Hospital,LHC-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,LHC,LCHC,LALH
1,3,3,Lab - Island Health - General,Lab - Island Health - General,36,152,Laboratory,Lab-General,Lab,Laboratory,IH Lab,Mixed Ages,Saanich Peninsula - Acute Care,Saanich Peninsula Acute Care,SPH-Lab Outpatient,Ambulatory,Ambulatory,Laboratory,NA,SPHAC,SPH-AC,LAB-S
1,1,2,Med-Surg - Ambulatory Episodic - Mixed Ages,Med-Surg - Ambulatory Episodic - Mixed Ages,99,138,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Med-Surg,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Saanich Peninsula - Acute Care,Saanich Peninsula Acute Care,Internal Medicine Clinic-SPH,Other,Other,Unclassified,NA,SPHAC,SPH-AC,INTMS
1,1,2,"Med - Surg, Ambulatory",Med-Surg - Ambulatory Mixed Episodic - Chronic - Mixed Ages,40,139,Ambulatory-Mixed,Ambulatory Mixed-Moderate Intensity,Med-Surg,Ambulatory-Mixed,Ambulatory Clinic,Mixed Ages,Victoria General Hospital,Victoria General Hospital,VGH - South 4A - Ambulatory Services,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,VGHAC,VGHA,4AAS
1,1,2,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Island Clinical Support Services,Island Diagnostic Centre,IDC Medical Imaging,Medical Imaging,NA,Medical Imaging,NA,ICS,IDC,IDCMI
1,1,1,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Island Clinical Support Services - CI,Mill Bay Xray Clinic,Medical Imaging Mill Bay,Medical Imaging,Medical Imaging,Medical Imaging,NA,ICSC,MBAY,MIMB
1,1,1,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Island Clinical Support Services - SI,Island Diagnostic Centre,IDC Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,NA,IDC,IDC,IDCMI
1,1,1,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Lady Minto Gulf Islands Hospital,Lady Minto Hospital,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,NA,LMH,LMH,Med Img-L
1,2,4,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,Saanich Peninsula - Acute Care,Saanich Peninsula Acute Care,Medical Imaging Reception,Medical Imaging,Medical Imaging,Medical Imaging,NA,SPHAC,SPH-AC,Med Img-S
1,1,2,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,St. Joseph's General Hospital - Acute Care,St. Joseph's Hospital - Acute Care,Medical Imaging Reception,Medical Imaging,Medical Imaging,Medical Imaging,NA,SJHAC,SJHA,MISH
1,1,2,Medical Imaging,Medical Imaging,38,154,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Medical Imaging,Mixed Ages,West Coast General Hospital,West Coast Hospital,Medical Imaging Reception-WCG,Medical Imaging,NA,Medical Imaging,NA,WCG,WCGA,MIWC
1,1,2,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Brooks Landing, Nanaimo - MHAS",Adult Community Support Services - Nanaimo,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,BROO,ACS
1,1,2,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Gibbins Road, Duncan - MHAS",Adult Community Support Services - Duncan,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,GIBB,ACSD
1,1,1,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,General Psychiatry Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,GENP
1,1,1,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Mood Disorders Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,MDOS
1,1,2,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Eric Martin Pavilion,Transition Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,EMPM,TRSI
1,1,2,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",Mental Health & Addictions Services Community Care,Pandora,STEP Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHSCC,PARA,STSI
1,1,1,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Case Management,Royal Jubilee Eric Martin Pavilion,General Psychiatry Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCM,EMP,GENP
1,1,1,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Case Management,Royal Jubilee Eric Martin Pavilion,Mood Disorders Service,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCM,EMP,MDOS
1,1,1,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Chronic Support,Royal Jubilee Eric Martin Pavilion,Transition Team,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCCS,EMP,TRSI
1,2,4,MHSU - Case Management,Long-term Community/Clinic-based  Treatment & Support - Adult (secondary level),45,11,Community Support,Medium-Intensity Community Tx & Support,MHSU,Case Management-MHSU,Community,"Adults, some adols, older adults",MHSU - Community - Urgent Episodic,"Roger Street, Port Alberni",Community Response Team-Port Alberni,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHCUE,ROPA,CRTP
1,1,2,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",Mental Health & Addictions Services - Residential Care,Caribbean Apts,CARB,Inpatient-Residential,Inpatient-Residential,Inpt-ResCare-MHAS,NA,MHS-RC,CARB,CARB
1,1,2,"MHSU - Residential Care, High Support",Residential Care - MHSU -  Daily support - Unlicensed Moderate Support (secondary level),59,28,Residential Care,Medium Intensity Res Care,MHSU,"Res Care-MHSU-Group Home, Apartment Cluster",Community Facility,"Adults, some adols, older adults",MHSU - Residential - Psycho Social Rehab,"Comeford Apts, SI-MHSU",Comerford Apartments,Inpatient-Residential,NA,Inpt-ResCare-MHAS,NA,MHRPSR,COMER,COME
1,1,2,MHSU - Urgent  or Short-Term Ambulatory,Time-limited Ambulatory Treatment Services - Mental Health - Adults (secondary level),62,15,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,MHSU,Ambulatory-Episodic,Ambulatory Clinic,"Adults, some adols, older adults",Mental Health & Addictions Service CI - Community Care,"Hirst Street, Parksville - MHAS",Adult Short Term Assessment and Treatment - Parksville,Community-MHAS,Mental Health Community Care Services,Community-MHAS,NA,MHASCC-CI,HIPK,ASPK
1,1,44,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Cowichan District Hospital-Mental Health,Cowichan District Hospital-Mental Health,CDH - 4 South,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,CDM,CDHM,STHC
1,1,14,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Cowichan District Hospital - Mental Health,Cowichan District Hospital - Mental Health,CDH - 4 South,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,CDM,CDHM,STHC
1,3,62,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Nanaimo Regional General Hospital,Nanaimo Regional General Hospital,NRG - Rapid Admission Discharge Unit,Inpatient-Acute,Inpatient-ER,InPt-Acute-ER-PES,NA,NRG,NRGA,RADU
1,1,102,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",Royal Jubilee Hospital-Mental Health,Royal Jubilee Patient Care Centre,RJH - 1 South West - General Psychiatry/Mood Disorder,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,RJHMH,PCC,1SWR
1,2,56,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Adult (secondary level),41,5,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Adults, some adols, older adults",West Coast General Hospital,West Coast Hospital,WCG - MedSurg Psyc,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,WCG,WCGA,MSYW
1,1,36,"MHSU, Psychogeriatric - Acute Care",Acute Care - Psychiatric - Regular - Child & Youth (secondary level),41,6,"ED, Urgent Care, Acute",Acute Care,MHSU,Acute Care,Hospital,"Children, Adolescents","Child, Youth Family Health - Mental Health",Ledger,QAC - Psychiatric Special Care,Inpatient-Acute,Inpatient-Acute-Mental Health,Inpt-Acute-MHAS,NA,CYFHM,LEDG,PSC
1,1,2,Morgue,Morgue,66,156,Morgue,Morgue,Morgue,Morgue,Morgue,Mixed Ages,Saanich Peninsula Hospital,Saanich Peninsula Hospital,Morgue-SPH,NA,NA,Morgue,NA,SPHAC,SPH-AC,MORGUE-S
1,1,2,Neurological,Neurology - Ambulatory Episodic,68,111,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Neurological,Ambulatory-Episodic,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Main,South 1 - Neurology,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,MAIN,S1-NEURO
1,1,1,Neurological,Neurology - Diagnostic,68,108,Ambulatory-Episodic,Ambulatory Episodic-Moderate Intensity,Neurological,Diagnostics,Ambulatory Clinic,Mixed Ages,Royal Jubilee - Acute Care,Royal Jubilee Richmond Pavilion,Neurology Lab-RJH,Ambulatory,Ambulatory Clinic,Ambulatory Clinic,NA,RJHAC,RICH PAV,NERJ
